label,text
1,females talk down on niccas when i can point out a few females who be on that tip 
1,celebrityleakedphotos yeah gt now you know how it feels knowing the nsa is on all our phones quit whining like muslim bitches 
1,rt itstylerstarr if we date get rid of ya ex s i ll get rid of my hoes we don t need no interference 
1,rt thevibeking i didn t go wrong when i started talking to you i went wrong when i trusted your bitch ass
1, bonnoxxx nah bitch u addicted to spazzin fasho fuc molly tht shit happend time and lean scarce so stfu hoe ass go spazz on sum thot
2,rt michaelarenella shy girls are cute
1,rt em car oops i didn t mean to tweet this yes i did random dvr ing is a bitch t co wj nycel h
1,that hoe that you in love with that s that hoe i mess around with
0,this niggah know wassup
1,japanese teen has her trimmed pussy toyed by a green vibrator t co jc azqu nr
0,rt blakeanderson weston diamond sleezy jeezy justinmiculka not about to shoot this pussy ima beat his face into the asphalt t 
1, kieffer jason is that all you have to say you sound like a little bitch nagging and shit where u be at
1,i dont kiss none of these hoes 
1, are ohh bee bitch you up and joined the fucking army and those of us around this bitch was like where the fuck rob go to the fuckin army 
1,rt balvarezzzz phonekibagami balvarezzzz why you hurt my feelings jk phone you pull all the hoes wit the nice weaves
2,rt l tsvibe keys open doors when them keys is albino
2,lol ike turner t co ynqyyaojo
0,these niggas retarded lmfaoo
2, simons lives keep in shape for the ski slopes
1,realtalk if you a hoe an try to get serious with someone don t expect to be anything more then a piece of meat to them
2,rt tableninemutant so city lights is a charlie chaplin movie by hertzrumble t co qyn bc mxs via wordpressdotcom
1,rt drunksixthgrade dont mind me im just over here tryin to teach ur bitch how to dougie
2, twostarscoob good job tonight you need to eat some crackers so you ll stop throwing up 
2,rt yankees getting the field ready for today s game t co lh uzqxbei
1,rt koolassk u want a nigga to just spend all his hard earned money on u hoe go strip that solves that problem lol
2,rt awwadorable i want a pet monkey t co wy gdjiej
2,rt karlenaskiff could never date someone with yellow teeth 
1, jesjosie eff dem hos 
2, ameezysangels i m the trash
1, daisymcgarr my knee won t let me wander around much so i just make a few trips and look at the fat girls redneck porn wal mart
0, huffingtonpost im american don t give shits about the beaners ship them beaners back
1,rt ortiz jaylene it s and me and bruno still up in this bitch lol
1, gdoublet brianmc find a loyal ho finntasticccc 
1, comedyposts harlem shake is just an excuse to go full retard for seconds 
1, thequeensoxill i d rather ask yours is she a nappy headed hoe too and is your grandma as well i d be ashamed to be in your family 
1,boys want bad bitches and dummies men want strong women who respect themselves and support his grind while handling hers 
1,i really don t like that nigguh paul tho
1,too many bitches got rabies and i hate a ho hoppin woman stank pussy poppin woman
1,rt blacknerdjade rt fivefifths hell wrong with yall rt twantargaryen pecan pie and sweet potato pie trash t co hh p pytx
1, thecoreyholcomb s o the fat bitches who ride dick with a t shirt on 
2, thetrackmamba gator bait 
2,rt russbrandon thanks to mr wilson for passing along this tremendous responsibility my sole focus is to empower our leadership to bui 
1,wagwuan bitches 
1, christymack ugly flat chested prude ass white bitch
1, jaimescudi lmao fucking bitch ima whoop you like a did yesterday but i m trying to update the roster you down 
1,lil bitch dumb 
1,no time for chasing after someone is like turning up off wine coolers you look like a bitch when you really think about it lol
1,pornographic oo oo don t make you no hoe oo
0,u coons can t wait to wear them oreo j s
1, surfboard vomitdatruth i m outside your house comeout this bitch
1,i want to paint but faggot won t paint with me 
1, lifeof brandon lifeof brandon bitch i called yu back the lies 
1, righteouz growejr i could have that chick there boobs in my face and score the fight better than the bitch that made it 
1,rt misskaee mrdavidross how do you cheat on this t co wogxy wjiw she s just like any other female with a pussy so who 
1, nsanemujer surfboard fuck you both bitches 
1,rt neonte we was wearing shorts about a week ago week ago grab ya hoodies cause it s freezing hoe freezing hoe t co ec dt u 
0, drew mailgal y all hire colored folk only work half da day and throw da mail in da sewer if we ain t done
2,rt jgalt don t let a crisis go to waste dems exploiting ebola to trash repubs opposed to obama s choice for surgeon gen t co 
